Original,Split,Literal_Translation,Fluent_Translation,Sentiment,Cleaned_Literal_Translation,Cleaned_Fluent_Translation
"A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http",train,"A Fukushima, the radioactivity shall to bad the biodiversity and on birds: http","In Fukushima, radioactivity affects biodiversity and birds: http",0,"A Fukushima, the radioactivity shall to bad the biodiversity and on birds: http","In Fukushima, radioactivity affects biodiversity and birds: http"
Biodiversité et développement durable : la petite histoire verte du campus http @user,train,"Biodiversity and development sustainable - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. the small history Green of the campus http @user",Biodiversity and Sustainable Development: The Campus's Small Green History http @user,1,Biodiversity and development sustainable - No. the small history Green of the campus http @user,Biodiversity and Sustainable Development: The Campus's Small Green History http @user
Des aides du #gouvernement pour des #logements plus #écologiques. -- http,train,The Aid of the #Government for of the #housing plus #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. -- http,#government support for #more #ecological housing. -- http,2,The Aid of the #Government for of the #housing plus #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. #ecological. -- http,#government support for #more #ecological housing. -- http
"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""",train,"#fabius - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. ""we sums There. 1st generation to take Consciousness of the change climate and we sums the last to power act""","#fabius: ""we're the first generation to become aware of climate change and we're the last to be able to act""",0,"#fabius - No. ""we sums There. 1st generation to take Consciousness of the change climate and we sums the last to power act""","#fabius: ""we're the first generation to become aware of climate change and we're the last to be able to act"""
Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,train,The trees on of the houses Environmental to Ho-Chi-Minh City to Vietnam - http via @user,"Trees on ecological houses in Ho-Chi-Minh City, Vietnam - http via @user",1,The trees on of the houses Environmental to Ho-Chi-Minh City to Vietnam - http via @user,"Trees on ecological houses in Ho-Chi-Minh City, Vietnam - http via @user"
"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http",train,"Grace to new pack student, #Github wishes initial on Young people developers to their ecosystem. #Male on Cat! http","Thanks to the new student pack, #Github wants to introduce young developers to their ecosystem. #Malin le chat! http",2,"Grace to new pack student, #Github wishes initial on Young people developers to their ecosystem. #Male on Cat! http","Thanks to the new student pack, #Github wants to introduce young developers to their ecosystem. #Malin le chat! http"
#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques !  via @user http,train,"#climate Those who a/ fear of the warming consume plus Electricity that on sceptics - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no no no no no no no no no no no no no no no no no no no via @user http",#climate Those who are afraid of warming consume more electricity than skeptics! via @user http,0,#climate Those who a/ fear of the warming consume plus Electricity that on sceptics - No. no via @user http,#climate Those who are afraid of warming consume more electricity than skeptics! via @user http
@user @user @user  je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,train,@user @user @user I quail ... I Grelotte on Wind turbines to side of the in Me .... do not turn not since 5 days ...,@user @user @user I'm quailing ... I'm squeaking the wind turbines next to my house .... don't turn for 5 days ...,1,@user @user @user I quail ... I Grelotte on Wind turbines to side of the in Me .... do not turn not since 5 days ...,@user @user @user I'm quailing ... I'm squeaking the wind turbines next to my house .... don't turn for 5 days ...
Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user http,train,Cameroon Democratic Republic of the Congo Guinea Ethiopia &amp; Uganda may produce sufficient Energy Hydroelectric of the #Africa @user http,Cameroon DRC Guinea Ethiopia &amp; Uganda can produce enough hydropower from Africa @user http,2,Cameroon Democratic Republic of the Congo Guinea Ethiopia &amp; Uganda may produce sufficient Energy Hydroelectric of the #Africa @user http,Cameroon DRC Guinea Ethiopia &amp; Uganda can produce enough hydropower from Africa @user http
"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user",train,"Subsidy to the energy renewables beheadings: after Germany, to round of the Italy via @user","Renewable energy subsidies decapitated: after Germany, Italy's turn via @user",0,"Subsidy to the energy renewables beheadings: after Germany, to round of the Italy via @user","Renewable energy subsidies decapitated: after Germany, Italy's turn via @user"
