row_index,original_text,translated_text,label,Split
0,"A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http","In Fukushima, radioactivity is harming biodiversity and birds: http",0,train
1,Biodiversité et développement durable : la petite histoire verte du campus http @user,Biodiversity and sustainable development: the little green story of the campus http @user,1,train
2,Des aides du #gouvernement pour des #logements plus #écologiques. -- http,Government assistance for more eco-friendly housing. -- http,2,train
3,"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""","#fabius: ""We are the first generation to become aware of climate change, and we are the last one that can act.""",0,train
4,Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,"Trees on eco-friendly houses in Ho Chi Minh City, Vietnam - http via @user",1,train
5,"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http","Thanks to the new student pack, #Github aims to introduce young developers to their ecosystem. #CleverCat! http",2,train
6,#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques !  via @user http,#Climate Those who fear global warming consume more electricity than the skeptics! via @user http,0,train
7,@user @user @user  je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,"I'm freezing... I'm shivering, the wind turbines next to my house... haven't been turning for 5 days...",1,train
8,Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user http,"Cameroon, DRC, Guinea, Ethiopia & Uganda can produce enough hydroelectric power for Africa @user http",2,train
9,"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user","ERROR: Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766"", 'type': None, 'param': 'prompt', 'code': 'content_filter', 'status': 400, 'innererror': {'code': 'ResponsibleAIPolicyViolation', 'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': True, 'severity': 'medium'}}}}}",0,train
