row_index,original_text,translated_text,label,Split
0,estoy hasta el ojete de que me digáis que tengo cara de mala leche,I'm fed up with you telling me that I look grumpy.,0,train
1,@user Por?  Tenía pensado verla después de la segunda de Daredevil,@user Why? I was planning to watch it after the second season of Daredevil.,1,train
2,Esto de estar feliz mola,Being happy is cool.,2,train
3,Ya no es tan divertido,It's not as fun anymore.,0,train
4,"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo","@user I remind you that I am a person who has judgment, mistaken, but I have it.",1,train
5,@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,ERROR: 'NoneType' object has no attribute 'strip',2,train
6,He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,"I tried a new hair mousse and it does make it curlier, but it ends up with a gel-like effect and I don't like it.",0,train
7,@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,@user I wish I could give you a hug in person or at least be with you today. I'm so sorry about your cousin.,1,train
8,@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,@user here is my bae aka a beautiful Egyptian who is learning Spanish. You two will get along well @user,2,train
9,"@user ya somos dos, que triste","@user we're two now, how sad",0,train
10,JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,"Haha, now they're saying they're going to fantasize about Tracer and her girlfriend. Because you can always sink even lower, right?",1,train
11,#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,"#2YearsOfLegionHolk I've been here for about 8 months, maybe less or more, I don't know. They taught and showed me that LH is something magical.",2,train
12,"🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...","🌼 Severus Snape 🌼 - Poor thing - I never hated him, he seemed very strict and unfair to me, but I knew something was going on...",0,train
13,"@user es chevre las letras!! sabes q dia es mañana,....","@user, the lyrics are cool!! Do you know what day it is tomorrow,...",1,train
14,Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,Missing it #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,2,train
15,"Esta ceniza me tiene harta, me arden los ojos","This ash is driving me crazy, my eyes are burning.",0,train
16,¿Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?,Is it possible to learn Motion Graphics in #Barcelona without it costing me an arm and a leg? Does anyone know of a place?,1,train
17,@user No. tampoco soy cursi,@user No. I'm not cheesy either.,2,train
18,En fin estoy hasta los huevos del 90% de las personas así que.,"I'm finally fed up with 90% of people, so.",0,train
19,"@user jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio","@user hahahaha, how lovely! I also got really happy when I found out, they're giving us an album before TOP goes to the service.",1,train
20,@user     Ya está preparando cosillas nuevas jeje,@user     They're already preparing some new things hehe,2,train
21,"@user Jo, yo que me había ilusionado","@user Oh, I had gotten my hopes up.",0,train
22,Si la U cerró todo... entonces yo estoy libre hasta el lunes,If the university closed everything... then I'm free until Monday.,1,train
23,Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...,Today it's time to listen to #MiguelRios with other great artists... #Insurrection...,2,train
