row_index,original_text,translated_text,label,Split
0,RT @user: @user @user   وصلنا لاقتصاد اسوء من سوريا والعراق ومن غير حربانجاز ده ولا مش انجاز يا متعلمين يا بتوع المدا…,"RT @user: @user @user We've reached an economy worse than Syria and Iraq, and without a war. Is this an achievement or not, you educated people, you experts in economics...",0,train
1,كاني ويست، دريك، نيكي، بيونسيه، قاقا http,"Kanye West, Drake, Nicki, Beyoncé, Gaga http",1,train
2,@user على فكره شركة محترمه حداعطوني كيبل كهديه  ويوم قتله انه شحنه بيكلفني اكثر من قيمته قال دش امازون واختار اي شي قيمته ٣٠ دولار,"@user By the way, it's a respectable company. They gave me a cable as a gift, and when I told them that shipping would cost me more than its value, they said, ""Go to Amazon and choose anything worth $30.""",2,train
3,RT @user: المتعه افضل من الزواج لهتك اعراض عامة #الشيعهعبث باسم الاسلام  http,RT @user: Pleasure is better than marriage for violating public decency #ShiitesMessingWithIslam http,0,train
4,القوات البرية السعودية والقوات الفرنسية الخاصة تؤديان التمرين المشترك «سانتول» http,"The Saudi Land Forces and French Special Forces conduct the joint exercise ""Santol"".",1,train
5,@user @user اي علمي هاشم الي عنده بيونسيه افضل وحده وهي اغانيها,"@user @user Oh, come on, Hashem, everyone knows Beyoncé is the best, and her songs are amazing.",2,train
6,RT @user: يحرقون حلب ثم يبكون اليمن .. #أحقر_الناس,RT @user: They burn Aleppo and then cry for Yemen... #TheMostDespicablePeople,0,train
7,@user اهيه الي مسويه اكونت غوتشي امس اتوقع!,"@user This is the one who made a Gucci account yesterday, I think!",1,train
8,@user راح يشلخونكم الساحر ميسي والمجنون سواريز ونيمار11ي ططططححححااااالللبب🐸🐸🐸🐸🐸🐸وبتشوف👈🐸🐸🐸🐸😂😂😂,"@user The magician Messi, the crazy Suarez, and Neymar are going to crush you. You'll see! 🐸🐸🐸🐸🐸🐸👈🐸🐸🐸🐸😂😂😂",2,train
9,"#القرموطي لـ""#المملكة"":حذاري من محاولة الحديث عن #مصر وموقفكم في مصلحة لـ #إسرائيل#السعودية… http","Al-Qarmouti to ""#AlMamlaka"": Beware of attempting to talk about #Egypt, as your stance benefits #Israel #SaudiArabia…",0,train
10,RT @user: الاسلام دين الرحمة وإكرام النفس ولم يأمر بهذه الأفعال التي لايفعلها إلا مجنون#شرك_الرافضه_في_عاشورا  http,"RT @user: Islam is a religion of mercy and honoring the self, and it does not command these actions that only a madman would do. #Shirk_of_Rafidah_in_Ashura http",1,train
11,@user اسمع اغنية halo ل بيونسيه واغنية pillow talk ل زين مالك فخمين وكمان flashlight ل جيسي,"Listen to the song ""Halo"" by Beyoncé and the song ""Pillow Talk"" by Zayn Malik, they're both classy, and also ""Flashlight"" by Jessie.",2,train
12,"RT @user: ""اذا فزت فسأرمي بمنافستي في السجن "" ليس السيسي او بشار الأسد بل المرشح لرئاسة الولايات المتحدة الأميركية دونالد ترامب.","RT @user: ""If I win, I will throw my opponent in jail."" This is not Sisi or Bashar al-Assad, but the candidate for the presidency of the United States, Donald Trump.",0,train
13,كمال خلف#سورية: #امريكا (تشويح) لا احتكاك عسكري.. والعودة إلى الطاولة قريبا#بوابة_الشرق_الأوسط_الجديدة… http,Kamal Khalaf: #Syria: #America (posturing) no military contact... and a return to the table soon #New_Middle_East_Gateway...,1,train
14,RT @user: الزمالك هيلعب يوم ١٥-١٠ ودى هتبقي الذكرى الاولي لوقفه رمضان التانيه ع الكورة 😂 http,"RT @user: Zamalek will play on 15-10, and this will be the first anniversary of Ramadan's second stand against football 😂 http",2,train
15,@user @user @user @user @user هههه الطائي قلب علينا وصار كومدياااني...يقطع شرك روح وتحمم وادخل الاسلام من جديد,ERROR: 'NoneType' object has no attribute 'strip',0,train
16,المشد الرياضي سويت سوت النسائيعرض مؤقت في امازونhttp #مشدات #تمارين #حرق #دهون http,"Women's Sweat Suit Sports Shaper
Limited-time offer on Amazon
#Shapers #Exercise #Burn #Fat",1,train
17,RT @user: بلومبيرج الأمريكية: السعودية تملك احتياطات نفطية تكفيها 70 عاماً Via @user http,RT @user: American Bloomberg: Saudi Arabia has oil reserves that will last for 70 years Via @user http,2,train
18,RT @user: ويقولون الوهابيه شوهوا الاسلام، انتم الكافر لاشاف فعايلكم حمد ربه بأنه كافر. http,"RT @user: And they say the Wahhabis have distorted Islam. If a disbeliever saw your actions, he would thank his Lord for being a disbeliever. http",0,train
